               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1294,              1.0238,              1.9204,             0.97647,             0.93625,              0.9845,             0.74315,                   0,                   0,                   0,            0.070085,           0.0033239,           0.0033239
                   1,              1.1368,              0.9991,              1.9038,             0.93829,             0.96682,               0.995,             0.74927,                   0,                   0,                   0,            0.039426,           0.0059982,           0.0059982
                   2,              1.1753,              1.0154,                1.95,             0.94921,             0.96582,               0.995,             0.72843,                   0,                   0,                   0,           0.0081069,           0.0080124,           0.0080124
                   3,              1.1954,              1.0418,              1.9821,              0.9507,             0.99685,               0.995,             0.74785,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,              1.1863,              1.1035,              1.9594,             0.97766,             0.92111,             0.97352,              0.7279,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,              1.1827,              1.0823,               1.967,              0.9638,             0.94582,             0.99063,             0.74066,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,              1.1585,             0.97201,              1.9124,             0.89869,             0.90879,             0.96375,             0.73059,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,              1.1541,               1.027,              1.9188,             0.95189,             0.89765,             0.94378,             0.70695,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,              1.1523,             0.98906,              1.9143,             0.96463,             0.90477,             0.95312,             0.73651,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,              1.1109,             0.96814,              1.8785,             0.98112,             0.88129,              0.9648,             0.73125,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
